dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count,n_tissues,n_diseases,score_celltype,score_cells,score_single_tissue,score_low_disease_mix,auto_score,use,selected_reason,matched_tissue,matched_tissues
a199ca73-035d-44e2-9893-4c493151db21,105827,16,blood,juvenile dermatomyositis;normal,blood;intestine;liver;lung,CITEseq of JDM PBMCs,10.1172/jci.insight.176963,CITEseq of JDM PBMCs,a199ca73-035d-44e2-9893-4c493151db21.h5ad,105827,1,2,0.14084507042253522,0.9307971376874188,1.0,0.75,2.0993233530349866,1,auto_balanced_top8_for_blood,blood,blood
2672b679-8048-4f5e-9786-f1b196ccfd08,57019,20,lung,normal,blood;intestine;liver;lung,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",10.1186/s13059-019-1906-x,Lung Parenchyma,2672b679-8048-4f5e-9786-f1b196ccfd08.h5ad,57019,1,1,0.19718309859154928,0.4870113928769515,1.0,1.0,2.0893899343177202,1,auto_balanced_top8_for_lung,lung,lung
02792605-4760-4023-82ad-40fc4458a5db,65396,27,liver,primary biliary cholangitis;primary sclerosing cholangitis,blood;intestine;liver;lung,Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,10.1016/j.jhep.2023.12.023,All cells types from scRNA-seq of human primary sclerosing cholangitis patients and healthy controls,02792605-4760-4023-82ad-40fc4458a5db.h5ad,89637,1,2,0.29577464788732394,0.5631790945708804,1.0,0.75,2.033682104629852,1,auto_balanced_top8_for_liver,liver,liver
5b25a46f-f1cf-4caa-9e10-6ab81dfe9174,12822,28,blood,HIV infectious disease || visceral leishmaniasis,blood;intestine;liver;lung,Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients,10.1038/s42003-024-06225-2,Longitudinal,5b25a46f-f1cf-4caa-9e10-6ab81dfe9174.h5ad,12822,1,1,0.30985915492957744,0.08515107154872205,1.0,1.0,1.9609497978588106,1,auto_balanced_top8_for_blood,blood,blood
84cfa5aa-a0d1-415e-ac47-eb66c9cf8170,72710,19,liver,intestinal failure–associated liver disease;normal,blood;intestine;liver;lung,Single-Cell Atlas Of Human Pediatric Liver Reveals Age-Related Hepatic Gene Signatures,10.1097/HC9.0000000000000813,Healthy and IFALD pediatric and adult human liver tissue,84cfa5aa-a0d1-415e-ac47-eb66c9cf8170.h5ad,81001,1,2,0.18309859154929578,0.6296814904392577,1.0,0.75,1.9609074858128506,1,auto_balanced_top8_for_liver,liver,liver
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,51650,12,intestine,normal,blood;intestine;liver;lung,A human cell atlas of fetal gene expression,10.1126/science.aba7721,Survey of human embryonic development,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.h5ad,4062980,1,1,0.08450704225352113,0.4381938698502469,1.0,1.0,1.9474233641636693,1,auto_balanced_top8_for_intestine,intestine,intestine
e3ed2ba4-edf5-40ac-8750-8a417ad1eefe,75104,14,liver,colorectal carcinoma || metastatic malignant neoplasm;normal,blood;intestine;liver;lung,Ex vivo modelling of human colorectal cancer liver metastasis by normothermic machine perfusion,10.1186/s12943-025-02430-7,CRLM-NMP-ATLAS,e3ed2ba4-edf5-40ac-8750-8a417ad1eefe.h5ad,75104,1,2,0.11267605633802817,0.6514488866258717,1.0,0.75,1.9035453883135514,1,auto_balanced_top8_for_liver,liver,liver
6c87755e-a671-41a8-9c7e-4e43b850a57b,113438,13,liver;lung,breast cancer,blood;intestine;liver;lung,HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,10.1038/s41591-024-03215-z,Fresh samples (single cell),6c87755e-a671-41a8-9c7e-4e43b850a57b.h5ad,157531,2,1,0.09859154929577464,1.0,0.5,1.0,1.8985915492957746,1,auto_balanced_top8_for_liver,liver,liver
ddb22b3d-a75c-4dd1-9730-dff7fc8ca530,29432,12,liver,normal,blood;intestine;liver;lung,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",10.1002/hep4.1854,Healthy human liver: integrated,ddb22b3d-a75c-4dd1-9730-dff7fc8ca530.h5ad,73295,1,1,0.08450704225352113,0.23617715787272348,1.0,1.0,1.8262133369771554,1,auto_balanced_top8_for_liver,liver,liver
1d89d081-f43d-401a-be76-bd6ef9259f4e,10352,18,liver,normal,blood;intestine;liver;lung,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,10.1016/j.cell.2023.11.026,Liver,1d89d081-f43d-401a-be76-bd6ef9259f4e.h5ad,259678,1,1,0.16901408450704225,0.0626926469117393,1.0,1.0,1.806629672654086,1,auto_balanced_top8_for_liver,liver,liver
43560d7c-acd6-4ede-830d-c9ffc6cd0862,15216,9,liver,normal,blood;intestine;liver;lung,Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,10.1016/j.jhep.2023.12.023,Natural killer T cells from human healthy donor liver samples,43560d7c-acd6-4ede-830d-c9ffc6cd0862.h5ad,16665,1,1,0.04225352112676056,0.1069184677353361,1.0,1.0,1.7064046017679622,1,auto_balanced_top8_for_liver,liver,liver
b252b015-b488-4d5c-b16e-968c13e48a2c,85134,9,intestine;liver,malignant ovarian serous tumor,blood;intestine;liver;lung,MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion,10.1038/s41586-022-05496-1,MSK SPECTRUM – All cells,b252b015-b488-4d5c-b16e-968c13e48a2c.h5ad,927205,2,1,0.04225352112676056,0.74264645711532,0.5,1.0,1.6878413953959526,1,auto_balanced_top8_for_liver,liver,intestine;liver
51d9716c-50bb-4fd8-8d1e-7d9329969cb7,11177,8,intestine,normal,blood;intestine;liver;lung,"iPSC-derived small intestine-on-chip with self-organizing epithelial, mesenchymal and neural cells",10.1016/j.celrep.2024.114247,intestine_on_chip_IFN,51d9716c-50bb-4fd8-8d1e-7d9329969cb7.h5ad,11177,1,1,0.028169014084507043,0.07019394259008374,1.0,1.0,1.6702853796385573,1,auto_balanced_top8_for_intestine,intestine,intestine
f7ca7eb9-0919-4eba-99a1-21ba382b4174,11103,8,intestine,normal,blood;intestine;liver;lung,"iPSC-derived small intestine-on-chip with self-organizing epithelial, mesenchymal and neural cells",10.1016/j.celrep.2024.114247,intestine_on_chip_media,f7ca7eb9-0919-4eba-99a1-21ba382b4174.h5ad,11103,1,1,0.028169014084507043,0.06952109909893527,1.0,1.0,1.6698816735438684,1,auto_balanced_top8_for_intestine,intestine,intestine
d6dfdef1-406d-4efb-808c-3c5eddbfe0cb,7443,9,intestine,colon sessile serrated adenoma/polyp;normal;tubular adenoma,blood;intestine;liver;lung,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,10.1016/j.cell.2021.11.031,Validation (Val) set of human colorectal tumor: Epithelial,d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.h5ad,57723,1,3,0.04225352112676056,0.036242623725916294,1.0,0.5,1.2639990953623104,1,auto_balanced_top8_for_intestine,intestine,intestine
e40c6272-af77-4a10-9385-62a398884f27,6444,9,intestine,colon sessile serrated adenoma/polyp;colorectal neoplasm;hyperplastic polyp;normal;tubulovillous adenoma,blood;intestine;liver;lung,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,10.1016/j.cell.2021.11.031,Discovery (DIS) set of human colorectal tumor: Epithelial,e40c6272-af77-4a10-9385-62a398884f27.h5ad,65088,1,5,0.04225352112676056,0.027159236595411935,1.0,0.0,0.8585490630840078,1,auto_balanced_top8_for_intestine,intestine,intestine
