dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count
e2808a6e-e2ea-41b9-b38c-4a08f1677f02,0,0,,,blood;brain;intestine;kidney;liver;lung,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,10.1126/science.adf6812,Dissection: Primary auditory cortex(A1),e2808a6e-e2ea-41b9-b38c-4a08f1677f02.h5ad,139054
e2a325e2-5633-4950-ae46-ebff70979e3b,4683,1,brain,normal,blood;brain;intestine;kidney;liver;lung,HVS: Human variation study,10.1126/science.adf2359,Lamp5Lhx6 - neocortex: Human variation study (HVS),e2a325e2-5633-4950-ae46-ebff70979e3b.h5ad,4683
e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,0,0,,,blood;brain;intestine;kidney;liver;lung,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,10.1016/j.celrep.2018.11.086,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46.h5ad,24544
e347396c-a7ff-4691-9f7a-99a43555ca18,1241,4,liver,normal,blood;brain;intestine;kidney;liver;lung,Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,10.1016/j.jhep.2023.12.023,Stellate cells from human healthy donor liver samples,e347396c-a7ff-4691-9f7a-99a43555ca18.h5ad,1417
e34f3f89-3a48-4173-a06a-9e9803f2e2b9,57855,1,brain,normal,blood;brain;intestine;kidney;liver;lung,HVS: Human variation study,10.1126/science.adf2359,Oligo - neocortex: Human variation study (HVS),e34f3f89-3a48-4173-a06a-9e9803f2e2b9.h5ad,57855
e3a7e927-2632-4575-993d-d0905cd5da8b,0,0,,,blood;brain;intestine;kidney;liver;lung,MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion,10.1038/s41586-022-05496-1,"MSK SPECTRUM - CD4+ T cells, CD8+ T cells, ILCs and NK cells",e3a7e927-2632-4575-993d-d0905cd5da8b.h5ad,221315
e3cc5b85-62ec-4add-bee3-73c8fd11e59d,0,0,,,blood;brain;intestine;kidney;liver;lung,Smoking modulates different secretory subpopulations expressing SARS-CoV-2 entry genes in the nasal and bronchial airways,10.1038/s41598-022-17832-6,Nasal scRNA-Seq Dataset,e3cc5b85-62ec-4add-bee3-73c8fd11e59d.h5ad,34833
e3da8320-0b3c-4bae-ad55-a89eb59ca870,0,0,,,blood;brain;intestine;kidney;liver;lung,Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,10.1038/s41590-025-02241-4,Immune aging project - innate lymphoid cell subset,e3da8320-0b3c-4bae-ad55-a89eb59ca870.h5ad,130414
e3ed2ba4-edf5-40ac-8750-8a417ad1eefe,75104,14,liver,colorectal carcinoma || metastatic malignant neoplasm;normal,blood;brain;intestine;kidney;liver;lung,Ex vivo modelling of human colorectal cancer liver metastasis by normothermic machine perfusion,10.1186/s12943-025-02430-7,CRLM-NMP-ATLAS,e3ed2ba4-edf5-40ac-8750-8a417ad1eefe.h5ad,75104
e404d417-56e4-40a5-b3c6-69e9f92d8cbd,0,0,,,blood;brain;intestine;kidney;liver;lung,Single cell atlas of the human retina,10.1101/2023.11.07.566105,snRNA-seq of human retina - retinal ganglion cell subset - excluding midget cells,e404d417-56e4-40a5-b3c6-69e9f92d8cbd.h5ad,20587
e40c6272-af77-4a10-9385-62a398884f27,6444,9,intestine,colon sessile serrated adenoma/polyp;colorectal neoplasm;hyperplastic polyp;normal;tubulovillous adenoma,blood;brain;intestine;kidney;liver;lung,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,10.1016/j.cell.2021.11.031,Discovery (DIS) set of human colorectal tumor: Epithelial,e40c6272-af77-4a10-9385-62a398884f27.h5ad,65088
e4710a02-8abc-48d5-a3e8-9ae7e9d79bdb,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Supercluster: MGE interneuron,e4710a02-8abc-48d5-a3e8-9ae7e9d79bdb.h5ad,222434
e47a4c13-22ba-4c77-99bc-13f7d60af799,0,0,,,blood;brain;intestine;kidney;liver;lung,Comprehensive cell atlas of the first-trimester developing human brain,10.1126/science.adf1226,Cerebellum,e47a4c13-22ba-4c77-99bc-13f7d60af799.h5ad,142362
e47c65a8-7d2f-48b8-908e-04ea6505fa26,0,0,,,blood;brain;intestine;kidney;liver;lung,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,scRNA-seq data - vascular cells,e47c65a8-7d2f-48b8-908e-04ea6505fa26.h5ad,83651
e4ddac12-f48f-4455-8e8d-c2a48a683437,0,0,,,blood;brain;intestine;kidney;liver;lung,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,10.1126/science.adf6812,Supercluster: CGE-derived interneurons,e4ddac12-f48f-4455-8e8d-c2a48a683437.h5ad,129495
e500acbf-f166-4c46-b290-f93506cf26d3,0,0,,,blood;brain;intestine;kidney;liver;lung,The cellular landscape of breast cancer associated malignant pleural effusions,10.1002/ctm2.1356,Figure 3,e500acbf-f166-4c46-b290-f93506cf26d3.h5ad,37428
e51bae9a-c747-4b64-904a-4da7cda218ab,0,0,,,blood;brain;intestine;kidney;liver;lung,"A pancreatic islet scRNA-seq atlas from 48 non-diabetic, prediabetic and type 2 diabetic individuals of matched demographic and ethnic backgrounds",10.1101/2025.01.17.633590,Integrated transcriptomes of the 14 pancreatic islet cell types,e51bae9a-c747-4b64-904a-4da7cda218ab.h5ad,245878
e522d2cd-7927-4e59-a4ed-064009569279,263917,38,blood,cytomegalovirus infection;normal,blood;brain;intestine;kidney;liver;lung,Human Immune Health Atlas,10.1038/s41586-025-09686-5,Human Immune Health Atlas,e522d2cd-7927-4e59-a4ed-064009569279.h5ad,1821725
e5233a94-9e43-418c-8209-6f1400c31530,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,10.1158/2159-8290.cd-22-0824,UMAP of all data,e5233a94-9e43-418c-8209-6f1400c31530.h5ad,146583
e595c979-c2de-4dad-8c02-8334a8e56de6,0,0,,,blood;brain;intestine;kidney;liver;lung,A human embryonic limb cell atlas resolved in space and time,10.1038/s41586-023-06806-x,human_limb_scRNAseq,e595c979-c2de-4dad-8c02-8334a8e56de6.h5ad,125955
e59a4394-80db-42e4-85e6-8f0e59b81f42,0,0,,,blood;brain;intestine;kidney;liver;lung,Comprehensive cell atlas of the first-trimester developing human brain,10.1126/science.adf1226,ClassNeuroblast,e59a4394-80db-42e4-85e6-8f0e59b81f42.h5ad,285699
e5b1115b-a486-49bb-bda3-8261822836e0,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23,e5b1115b-a486-49bb-bda3-8261822836e0.h5ad,35359
e5c63d94-593c-4338-a489-e1048599e751,0,0,,,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - Bladder,e5c63d94-593c-4338-a489-e1048599e751.h5ad,66385
e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b,0,0,,,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,49 years old male - Airway Wash (3 days post-intubation),e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b.h5ad,2487
e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f,0,0,,,blood;brain;intestine;kidney;liver;lung,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",10.1007/s00401-023-02599-5,Occipital cortex samples from C9-FTD and age matched control brains,e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f.h5ad,66719
e6a11140-2545-46bc-929e-da243eed2cae,0,0,,,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - Heart,e6a11140-2545-46bc-929e-da243eed2cae.h5ad,25832
e6aaf5a4-16e9-4ea6-9733-4eafd4e473d3,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell integration reveals metaplasia in inflammatory gut diseases,10.1038/s41586-024-07571-1,Extended - All genes,e6aaf5a4-16e9-4ea6-9733-4eafd4e473d3.h5ad,1358573
e6b2ce27-681b-4409-a053-2681875936e5,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Supercluster: Eccentric medium spiny neuron,e6b2ce27-681b-4409-a053-2681875936e5.h5ad,40144
