dataset_id,file_name,status,n_obs_before,n_vars_before,n_obs_after,n_vars_after,unique_cell_types_after,tissues,n_mapped_ontology_labels,n_unmapped_ontology_labels,n_unique_cl_ids,elapsed_sec,error
7f7faf6b-f11d-4f07-bc1c-188a4472748d,7f7faf6b-f11d-4f07-bc1c-188a4472748d.h5ad,failed,,,,,,,,,,,"MemoryError((11679103973376,), dtype('int16'))"
84cfa5aa-a0d1-415e-ac47-eb66c9cf8170,84cfa5aa-a0d1-415e-ac47-eb66c9cf8170.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
8c42cfd0-0b0a-46d5-910c-fc833d83c45e,8c42cfd0-0b0a-46d5-910c-fc833d83c45e.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
9968be68-ab65-4a38-9e1a-c9b6abece194,9968be68-ab65-4a38-9e1a-c9b6abece194.h5ad,failed,,,,,,,,,,,"MemoryError((2228936137776,), dtype('int16'))"
9ea768a2-87ab-46b6-a73d-c4e915f25af3,9ea768a2-87ab-46b6-a73d-c4e915f25af3.h5ad,failed,,,,,,,,,,,"ValueError('Length of passed value for obs_names is 40268, but this AnnData has shape: (40090, 20467)')"
a199ca73-035d-44e2-9893-4c493151db21,a199ca73-035d-44e2-9893-4c493151db21.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
a1b9c51e-a408-4f7f-bccb-abefe20ae2a5,a1b9c51e-a408-4f7f-bccb-abefe20ae2a5.h5ad,failed,,,,,,,,,,,"ValueError('Length of passed value for obs_names is 16245, but this AnnData has shape: (16171, 16711)')"
b252b015-b488-4d5c-b16e-968c13e48a2c,b252b015-b488-4d5c-b16e-968c13e48a2c.h5ad,skipped,,,,,,,,,,0.0,file_too_large: 24.32 GB
b2dda353-0c96-42df-8dcd-1ea7429a6feb,b2dda353-0c96-42df-8dcd-1ea7429a6feb.h5ad,failed,,,,,,,,,,,"MemoryError((738633807840,), dtype('int16'))"
b617ee1b-f8c8-4de9-b82b-e803ab93550d,b617ee1b-f8c8-4de9-b82b-e803ab93550d.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
b61a921b-7fa3-4b42-b455-aaaf32447920,b61a921b-7fa3-4b42-b455-aaaf32447920.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
bd65a70f-b274-4133-b9dd-0d1431b6af34,bd65a70f-b274-4133-b9dd-0d1431b6af34.h5ad,failed,,,,,,,,,,,"MemoryError((1378783107968,), dtype('int16'))"
c2a461b1-0c15-4047-9fcb-1f966fe55100,c2a461b1-0c15-4047-9fcb-1f966fe55100.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
cf83c98a-3791-4537-bbde-a719f6d73c13,cf83c98a-3791-4537-bbde-a719f6d73c13.h5ad,failed,,,,,,,,,,,"MemoryError((1034087330976,), dtype('int16'))"
d18736c3-6292-4379-919a-d6d973204c87,d18736c3-6292-4379-919a-d6d973204c87.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
d3566d6a-a455-4a15-980f-45eb29114cab,d3566d6a-a455-4a15-980f-45eb29114cab.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
d6dfdef1-406d-4efb-808c-3c5eddbfe0cb,d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
d7dcfd8f-2ee7-4385-b9ac-e074c23ed190,d7dcfd8f-2ee7-4385-b9ac-e074c23ed190.h5ad,failed,,,,,,,,,,,"ValueError('Length of passed value for obs_names is 27197, but this AnnData has shape: (27138, 22692)')"
dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503,dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503.h5ad,failed,,,,,,,,,,,"MemoryError((1274505393920,), dtype('int16'))"
ddb22b3d-a75c-4dd1-9730-dff7fc8ca530,ddb22b3d-a75c-4dd1-9730-dff7fc8ca530.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
